title,plot,poster_url,genres
Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,http://ia.media-imdb.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@.jpg,"[""Drama"", ""Sport""]"
Ben-Hur,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",http://ia.media-imdb.com/images/M/MV5BNjg2NjA3NDY2OV5BMl5BanBnXkFtZTgwNzE3NTkxMTE@.jpg,"[""Adventure"", ""Drama"", ""History""]"
The Grapes of Wrath,"A poor Midwest family is forced off of their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",http://ia.media-imdb.com/images/M/MV5BMzgzNjcxNjg2M15BMl5BanBnXkFtZTcwMjQxNDQ3Mg@@.jpg,"[""Drama""]"
Diabolique,"The wife of a cruel headmaster and his mistress conspire to kill him, but after the murder is committed, his body disappears, and strange events begin to plague the two women.",http://ia.media-imdb.com/images/M/MV5BMTcwNzc5MjI5Nl5BMl5BanBnXkFtZTYwNjIwMzc5.jpg,"[""Horror"", ""Mystery"", ""Thriller""]"
Sin City,"A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.",http://ia.media-imdb.com/images/M/MV5BMTI2NjUyMDUyMV5BMl5BanBnXkFtZTcwMzU0OTkyMQ@@.jpg,"[""Crime"", ""Thriller""]"
Hachi: A Dog's Tale,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,http://ia.media-imdb.com/images/M/MV5BMTAxMDA2MjM4NDReQTJeQWpwZ15BbWU3MDE0NTgxMTM@.jpg,"[""Drama"", ""Family""]"
Nausicaä of the Valley of the Wind,Warrior/pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,http://ia.media-imdb.com/images/M/MV5BMTM1NjIxNTY4OF5BMl5BanBnXkFtZTcwNDE5MDIyNw@@.jpg,"[""Animation"", ""Adventure"", ""Fantasy"", ""Sci-Fi""]"
The Best Years of Our Lives,Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.,http://ia.media-imdb.com/images/M/MV5BMTk1NTAxNzg3Nl5BMl5BanBnXkFtZTcwNjU4OTQwNw@@.jpg,"[""Drama"", ""Romance"", ""War""]"
The Wizard of Oz,Dorothy Gale is swept away to a magical land in a tornado and embarks on a quest to  the Wizard who can help her return home.,http://ia.media-imdb.com/images/M/MV5BMTU0MTA2OTIwNF5BMl5BanBnXkFtZTcwMzA0Njk3OA@@.jpg,"[""Adventure"", ""Family"", ""Fantasy"", ""Musical""]"
Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,http://ia.media-imdb.com/images/M/MV5BNDY2NjU0NDAxOF5BMl5BanBnXkFtZTgwNjQ4MTI2MTE@.jpg,"[""Drama"", ""Sci-Fi""]"
